fold,method,K,alpha_std,alpha_range,n_unique_alphas
3,ipwr,90,0.0,0.0,1
3,ipwr,100,0.0,0.0,1
3,itr,10,0.0,0.0,1
3,itr,20,0.0,0.0,1
3,itr,30,0.0,0.0,1
3,itr,40,0.0,0.0,1
3,itr,50,0.0,0.0,1
3,itr,60,0.0,0.0,1
3,itr,70,0.0,0.0,1
3,itr,80,0.0,0.0,1
3,itr,90,0.0,0.0,1
3,itr,100,0.0,0.0,1
3,jaccard,10,0.0,0.0,1
3,jaccard,20,0.0,0.0,1
3,jaccard,30,0.0,0.0,1
3,jaccard,40,0.0,0.0,1
3,jaccard,50,0.0,0.0,1
3,jaccard,60,0.0,0.0,1
3,jaccard,70,2.220446049250313e-16,0.0,1
3,jaccard,80,2.220446049250313e-16,0.0,1
3,jaccard,90,0.0,0.0,1
3,jaccard,100,0.0,0.0,1
3,jmsd,10,0.0,0.0,1
3,jmsd,20,0.0,0.0,1
3,jmsd,30,0.0,0.0,1
3,jmsd,40,0.0,0.0,1
3,jmsd,50,0.0,0.0,1
3,jmsd,60,0.0,0.0,1
3,jmsd,70,0.0,0.0,1
3,jmsd,80,0.0,0.0,1
3,jmsd,90,0.0,0.0,1
3,jmsd,100,0.0,0.0,1
3,kendall_tau_b,10,0.0,0.0,1
3,kendall_tau_b,20,0.0,0.0,1
3,kendall_tau_b,30,0.0,0.0,1
3,kendall_tau_b,40,0.0,0.0,1
3,kendall_tau_b,50,0.0,0.0,1
3,kendall_tau_b,60,0.0,0.0,1
3,kendall_tau_b,70,0.0,0.0,1
3,kendall_tau_b,80,0.0,0.0,1
3,kendall_tau_b,90,0.0,0.0,1
3,kendall_tau_b,100,0.0,0.0,1
3,manhattan,10,0.0,0.0,1
3,manhattan,20,2.220446049250313e-16,0.0,1
3,manhattan,30,0.0,0.0,1
3,manhattan,40,4.440892098500626e-16,0.0,1
3,manhattan,50,0.0,0.0,1
3,manhattan,60,0.0,0.0,1
3,manhattan,70,0.0,0.0,1
3,manhattan,80,0.0,0.0,1
3,manhattan,90,0.0,0.0,1
3,manhattan,100,0.0,0.0,1
3,msd,10,0.0,0.0,1
3,msd,20,0.0,0.0,1
3,msd,30,0.0,0.0,1
3,msd,40,0.0,0.0,1
3,msd,50,0.0,0.0,1
3,msd,60,0.0,0.0,1
3,msd,70,0.0,0.0,1
3,msd,80,0.0,0.0,1
3,msd,90,0.0,0.0,1
3,msd,100,0.0,0.0,1
3,pcc,10,0.0,0.0,1
3,pcc,20,0.0,0.0,1
3,pcc,30,0.0,0.0,1
3,pcc,40,0.0,0.0,1
3,pcc,50,0.0,0.0,1
3,pcc,60,0.0,0.0,1
3,pcc,70,0.0,0.0,1
3,pcc,80,0.0,0.0,1
3,pcc,90,0.0,0.0,1
3,pcc,100,0.0,0.0,1
3,spcc,10,0.0,0.0,1
3,spcc,20,0.0,0.0,1
3,spcc,30,0.0,0.0,1
3,spcc,40,0.0,0.0,1
3,spcc,50,0.0,0.0,1
3,spcc,60,0.0,0.0,1
3,spcc,70,0.0,0.0,1
3,spcc,80,0.0,0.0,1
3,spcc,90,0.0,0.0,1
3,spcc,100,0.0,0.0,1
3,src,10,0.0,0.0,1
3,src,20,0.0,0.0,1
3,src,30,0.0,0.0,1
3,src,40,0.0,0.0,1
3,src,50,0.0,0.0,1
3,src,60,0.0,0.0,1
3,src,70,0.0,0.0,1
3,src,80,0.0,0.0,1
3,src,90,0.0,0.0,1
3,src,100,0.0,0.0,1
4,acos,10,0.0,0.0,1
4,acos,20,0.0,0.0,1
4,acos,30,0.0,0.0,1
4,acos,40,0.0,0.0,1
4,acos,50,0.0,0.0,1
4,acos,60,2.7755575615628914e-17,0.0,1
4,acos,70,2.7755575615628914e-17,0.0,1
4,acos,80,0.0,0.0,1
4,acos,90,0.0,0.0,1
4,acos,100,0.0,0.0,1
4,ami,10,0.0,0.0,1
4,ami,20,0.0,0.0,1
4,ami,30,0.0,0.0,1
4,ami,40,0.0,0.0,1
4,ami,50,0.0,0.0,1
4,ami,60,0.0,0.0,1
4,ami,70,0.0,0.0,1
4,ami,80,0.0,0.0,1
4,ami,90,0.0,0.0,1
4,ami,100,0.0,0.0,1
4,ari,10,2.7755575615628914e-17,0.0,1
4,ari,20,5.551115123125783e-17,0.0,1
4,ari,30,0.0,0.0,1
4,ari,40,0.0,0.0,1
4,ari,50,0.0,0.0,1
4,ari,60,0.0,0.0,1
4,ari,70,1.1102230246251565e-16,0.0,1
4,ari,80,1.1102230246251565e-16,0.0,1
4,ari,90,1.1102230246251565e-16,0.0,1
4,ari,100,1.1102230246251565e-16,0.0,1
4,chebyshev,10,0.0,0.0,1
4,chebyshev,20,0.0,0.0,1
4,chebyshev,30,0.0,0.0,1
4,chebyshev,40,0.0,0.0,1
4,chebyshev,50,0.0,0.0,1
4,chebyshev,60,0.0,0.0,1
4,chebyshev,70,0.0,0.0,1
4,chebyshev,80,0.0,0.0,1
4,chebyshev,90,0.0,0.0,1
4,chebyshev,100,0.0,0.0,1
4,cosine,10,0.0,0.0,1
4,cosine,20,0.0,0.0,1
4,cosine,30,0.0,0.0,1
4,cosine,40,0.0,0.0,1
4,cosine,50,0.0,0.0,1
4,cosine,60,0.0,0.0,1
4,cosine,70,0.0,0.0,1
4,cosine,80,0.0,0.0,1
4,cosine,90,0.0,0.0,1
4,cosine,100,0.0,0.0,1
4,cpcc,10,0.0,0.0,1
4,cpcc,20,0.0,0.0,1
4,cpcc,30,0.0,0.0,1
4,cpcc,40,0.0,0.0,1
4,cpcc,50,0.0,0.0,1
4,cpcc,60,0.0,0.0,1
4,cpcc,70,0.0,0.0,1
4,cpcc,80,0.0,0.0,1
4,cpcc,90,0.0,0.0,1
4,cpcc,100,0.0,0.0,1
4,euclidean,10,0.0,0.0,1
4,euclidean,20,0.0,0.0,1
4,euclidean,30,0.0,0.0,1
4,euclidean,40,0.0,0.0,1
4,euclidean,50,0.0,0.0,1
4,euclidean,60,0.0,0.0,1
4,euclidean,70,0.0,0.0,1
4,euclidean,80,0.0,0.0,1
4,euclidean,90,0.0,0.0,1
4,euclidean,100,0.0,0.0,1
4,ipwr,10,0.0,0.0,1
4,ipwr,20,2.220446049250313e-16,0.0,1
4,ipwr,30,0.0,0.0,1
4,ipwr,40,0.0,0.0,1
4,ipwr,50,0.0,0.0,1
4,ipwr,60,0.0,0.0,1
4,ipwr,70,0.0,0.0,1
4,ipwr,80,0.0,0.0,1
4,ipwr,90,0.0,0.0,1
4,ipwr,100,0.0,0.0,1
4,itr,10,0.0,0.0,1
4,itr,20,0.0,0.0,1
4,itr,30,0.0,0.0,1
4,itr,40,0.0,0.0,1
4,itr,50,0.0,0.0,1
4,itr,60,0.0,0.0,1
4,itr,70,0.0,0.0,1
4,itr,80,0.0,0.0,1
4,itr,90,0.0,0.0,1
4,itr,100,0.0,0.0,1
4,jaccard,10,0.0,0.0,1
4,jaccard,20,0.0,0.0,1
4,jaccard,30,0.0,0.0,1
4,jaccard,40,2.220446049250313e-16,0.0,1
4,jaccard,50,0.0,0.0,1
4,jaccard,60,2.220446049250313e-16,0.0,1
4,jaccard,70,0.0,0.0,1
4,jaccard,80,0.0,0.0,1
4,jaccard,90,0.0,0.0,1
4,jaccard,100,0.0,0.0,1
4,jmsd,10,2.220446049250313e-16,0.0,1
4,jmsd,20,0.0,0.0,1
4,jmsd,30,0.0,0.0,1
4,jmsd,40,0.0,0.0,1
4,jmsd,50,0.0,0.0,1
4,jmsd,60,0.0,0.0,1
4,jmsd,70,0.0,0.0,1
4,jmsd,80,0.0,0.0,1
4,jmsd,90,0.0,0.0,1
4,jmsd,100,0.0,0.0,1
4,kendall_tau_b,10,0.0,0.0,1
4,kendall_tau_b,20,0.0,0.0,1
4,kendall_tau_b,30,0.0,0.0,1
4,kendall_tau_b,40,0.0,0.0,1
4,kendall_tau_b,50,0.0,0.0,1
4,kendall_tau_b,60,0.0,0.0,1
4,kendall_tau_b,70,0.0,0.0,1
4,kendall_tau_b,80,0.0,0.0,1
4,kendall_tau_b,90,0.0,0.0,1
4,kendall_tau_b,100,0.0,0.0,1
4,manhattan,10,0.0,0.0,1
4,manhattan,20,2.220446049250313e-16,0.0,1
4,manhattan,30,0.0,0.0,1
4,manhattan,40,4.440892098500626e-16,0.0,1
4,manhattan,50,0.0,0.0,1
4,manhattan,60,0.0,0.0,1
4,manhattan,70,4.440892098500626e-16,0.0,1
4,manhattan,80,0.0,0.0,1
4,manhattan,90,0.0,0.0,1
4,manhattan,100,0.0,0.0,1
4,msd,10,0.0,0.0,1
4,msd,20,0.0,0.0,1
4,msd,30,0.0,0.0,1
4,msd,40,0.0,0.0,1
4,msd,50,0.0,0.0,1
4,msd,60,0.0,0.0,1
4,msd,70,0.0,0.0,1
4,msd,80,0.0,0.0,1
4,msd,90,0.0,0.0,1
4,msd,100,0.0,0.0,1
4,pcc,10,0.0,0.0,1
4,pcc,20,0.0,0.0,1
4,pcc,30,0.0,0.0,1
4,pcc,40,0.0,0.0,1
4,pcc,50,0.0,0.0,1
4,pcc,60,0.0,0.0,1
4,pcc,70,0.0,0.0,1
4,pcc,80,0.0,0.0,1
4,pcc,90,0.0,0.0,1
4,pcc,100,0.0,0.0,1
4,spcc,10,0.0,0.0,1
4,spcc,20,0.0,0.0,1
4,spcc,30,0.0,0.0,1
4,spcc,40,0.0,0.0,1
4,spcc,50,0.0,0.0,1
4,spcc,60,0.0,0.0,1
4,spcc,70,0.0,0.0,1
4,spcc,80,0.0,0.0,1
4,spcc,90,0.0,0.0,1
4,spcc,100,0.0,0.0,1
4,src,10,0.0,0.0,1
4,src,20,0.0,0.0,1
4,src,30,0.0,0.0,1
4,src,40,0.0,0.0,1
4,src,50,0.0,0.0,1
4,src,60,0.0,0.0,1
4,src,70,0.0,0.0,1
4,src,80,0.0,0.0,1
4,src,90,0.0,0.0,1
4,src,100,0.0,0.0,1
5,acos,10,0.0,0.0,1
5,acos,20,0.0,0.0,1
5,acos,30,0.0,0.0,1
5,acos,40,2.7755575615628914e-17,0.0,1
5,acos,50,0.0,0.0,1
5,acos,60,0.0,0.0,1
5,acos,70,5.551115123125783e-17,0.0,1
5,acos,80,5.551115123125783e-17,0.0,1
5,acos,90,0.0,0.0,1
5,acos,100,0.0,0.0,1
5,ami,10,0.0,0.0,1
5,ami,20,0.0,0.0,1
5,ami,30,0.0,0.0,1
5,ami,40,0.0,0.0,1
5,ami,50,0.0,0.0,1
5,ami,60,0.0,0.0,1
5,ami,70,0.0,0.0,1
5,ami,80,0.0,0.0,1
5,ami,90,0.0,0.0,1
5,ami,100,1.1102230246251565e-16,0.0,1
5,ari,10,0.0,0.0,1
5,ari,20,0.0,0.0,1
5,ari,30,0.0,0.0,1
5,ari,40,0.0,0.0,1
5,ari,50,0.0,0.0,1
5,ari,60,0.0,0.0,1
5,ari,70,0.0,0.0,1
5,ari,80,0.0,0.0,1
5,ari,90,0.0,0.0,1
5,ari,100,0.0,0.0,1
5,chebyshev,10,0.0,0.0,1
5,chebyshev,20,0.0,0.0,1
5,chebyshev,30,0.0,0.0,1
5,chebyshev,40,0.0,0.0,1
5,chebyshev,50,0.0,0.0,1
5,chebyshev,60,0.0,0.0,1
5,chebyshev,70,0.0,0.0,1
5,chebyshev,80,0.0,0.0,1
5,chebyshev,90,0.0,0.0,1
5,chebyshev,100,0.0,0.0,1
5,cosine,10,0.0,0.0,1
5,cosine,20,0.0,0.0,1
5,cosine,30,0.0,0.0,1
5,cosine,40,0.0,0.0,1
5,cosine,50,0.0,0.0,1
5,cosine,60,0.0,0.0,1
5,cosine,70,0.0,0.0,1
5,cosine,80,0.0,0.0,1
5,cosine,90,0.0,0.0,1
5,cosine,100,0.0,0.0,1
5,cpcc,10,0.0,0.0,1
5,cpcc,20,0.0,0.0,1
5,cpcc,30,0.0,0.0,1
5,cpcc,40,0.0,0.0,1
5,cpcc,50,0.0,0.0,1
5,cpcc,60,0.0,0.0,1
5,cpcc,70,0.0,0.0,1
5,cpcc,80,0.0,0.0,1
5,cpcc,90,0.0,0.0,1
5,cpcc,100,0.0,0.0,1
5,euclidean,10,0.0,0.0,1
5,euclidean,20,0.0,0.0,1
5,euclidean,30,0.0,0.0,1
5,euclidean,40,0.0,0.0,1
5,euclidean,50,0.0,0.0,1
5,euclidean,60,0.0,0.0,1
5,euclidean,70,0.0,0.0,1
5,euclidean,80,0.0,0.0,1
5,euclidean,90,0.0,0.0,1
5,euclidean,100,0.0,0.0,1
5,ipwr,10,0.0,0.0,1
5,ipwr,20,2.220446049250313e-16,0.0,1
5,ipwr,30,0.0,0.0,1
5,ipwr,40,0.0,0.0,1
5,ipwr,50,0.0,0.0,1
5,ipwr,60,0.0,0.0,1
5,ipwr,70,0.0,0.0,1
5,ipwr,80,0.0,0.0,1
5,ipwr,90,0.0,0.0,1
5,ipwr,100,0.0,0.0,1
5,itr,10,0.0,0.0,1
5,itr,20,2.220446049250313e-16,0.0,1
5,itr,30,0.0,0.0,1
5,itr,40,0.0,0.0,1
5,itr,50,0.0,0.0,1
5,itr,60,0.0,0.0,1
5,itr,70,0.0,0.0,1
5,itr,80,0.0,0.0,1
5,itr,90,0.0,0.0,1
5,itr,100,0.0,0.0,1
5,jaccard,10,0.0,0.0,1
5,jaccard,20,2.220446049250313e-16,0.0,1
5,jaccard,30,2.220446049250313e-16,0.0,1
5,jaccard,40,0.0,0.0,1
5,jaccard,50,0.0,0.0,1
5,jaccard,60,0.0,0.0,1
5,jaccard,70,0.0,0.0,1
5,jaccard,80,0.0,0.0,1
5,jaccard,90,0.0,0.0,1
5,jaccard,100,0.0,0.0,1
5,jmsd,10,0.0,0.0,1
5,jmsd,20,0.0,0.0,1
5,jmsd,30,0.0,0.0,1
5,jmsd,40,0.0,0.0,1
5,jmsd,50,0.0,0.0,1
5,jmsd,60,0.0,0.0,1
5,jmsd,70,0.0,0.0,1
5,jmsd,80,0.0,0.0,1
5,jmsd,90,0.0,0.0,1
5,jmsd,100,0.0,0.0,1
5,kendall_tau_b,10,0.0,0.0,1
5,kendall_tau_b,20,0.0,0.0,1
5,kendall_tau_b,30,0.0,0.0,1
5,kendall_tau_b,40,0.0,0.0,1
5,kendall_tau_b,50,0.0,0.0,1
5,kendall_tau_b,60,0.0,0.0,1
5,kendall_tau_b,70,0.0,0.0,1
5,kendall_tau_b,80,0.0,0.0,1
5,kendall_tau_b,90,0.0,0.0,1
5,kendall_tau_b,100,0.0,0.0,1
5,manhattan,10,0.0,0.0,1
5,manhattan,20,0.0,0.0,1
5,manhattan,30,0.0,0.0,1
5,manhattan,40,0.0,0.0,1
5,manhattan,50,0.0,0.0,1
5,manhattan,60,0.0,0.0,1
5,manhattan,70,0.0,0.0,1
5,manhattan,80,4.440892098500626e-16,0.0,1
5,manhattan,90,0.0,0.0,1
5,manhattan,100,0.0,0.0,1
5,msd,10,0.0,0.0,1
5,msd,20,0.0,0.0,1
5,msd,30,0.0,0.0,1
5,msd,40,0.0,0.0,1
5,msd,50,0.0,0.0,1
5,msd,60,0.0,0.0,1
5,msd,70,0.0,0.0,1
5,msd,80,0.0,0.0,1
5,msd,90,0.0,0.0,1
5,msd,100,0.0,0.0,1
5,pcc,10,0.0,0.0,1
5,pcc,20,0.0,0.0,1
5,pcc,30,0.0,0.0,1
5,pcc,40,0.0,0.0,1
5,pcc,50,0.0,0.0,1
5,pcc,60,0.0,0.0,1
5,pcc,70,0.0,0.0,1
5,pcc,80,0.0,0.0,1
5,pcc,90,0.0,0.0,1
5,pcc,100,0.0,0.0,1
5,spcc,10,0.0,0.0,1
5,spcc,20,0.0,0.0,1
5,spcc,30,0.0,0.0,1
5,spcc,40,0.0,0.0,1
5,spcc,50,0.0,0.0,1
5,spcc,60,0.0,0.0,1
5,spcc,70,0.0,0.0,1
5,spcc,80,0.0,0.0,1
5,spcc,90,0.0,0.0,1
5,spcc,100,0.0,0.0,1
5,src,10,0.0,0.0,1
5,src,20,0.0,0.0,1
5,src,30,0.0,0.0,1
5,src,40,0.0,0.0,1
5,src,50,0.0,0.0,1
5,src,60,0.0,0.0,1
5,src,70,0.0,0.0,1
5,src,80,0.0,0.0,1
5,src,90,0.0,0.0,1
5,src,100,0.0,0.0,1
